"year","Food Manufacturing","Plastics and Rubber Products Manufacturing","Printing and Related Support Activities","Miscellaneous Manufacturing","Machinery Manufacturing","Chemical Manufacturing","Paper Manufacturing","Computer and Electronic Product Manufacturing","Fabricated Metal Product Manufacturing","Transportation Equipment Manufacturing"
"2015",0,0,0,0,0,0,0,0,0,0
"2016",5.3,84.39,5.69,0.99,3.2,-0.9,-3.82,-5.09,-10.14,-5.67
"2017",8.24,81.72,-0.81,2.54,0.8,2.96,-4.6,-6.72,-11.81,-11.13
"2018",11.07,86.24,1.9,2.96,-1.33,9.16,-8.31,-5.3,-5.49,-12.73
"2019",8.6,85.63,10.57,9.3,1.33,3.59,-7.3,-4.07,-2.94,-11.92
"2020",8.72,56.06,-9.49,-14.08,4,1.62,-13.24,-14.66,-11.99,-12.29
"2021",18.26,49.08,-0.81,2.68,-3.47,-12.48,-13.8,-12.42,-14.05,-14.78
"2022",30.39,46.82,0.81,10,-10.4,-13.02,-6.4,-15.48,-17.79,-21.6
"2023",38.04,44.15,5.69,14.23,-5.33,-19.66,-5.61,-13.85,-21.04,-23.52
"2024",34.04,40.66,13.28,9.86,-12.27,-10.5,-11.11,-17.72,-22.18,-26.37
"2025",37.1,26.08,11.11,7.61,-12,-12.84,-14.93,-19.14,-25.91,-29.44
