"industry_title","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Transportation Equipment Manufacturing",5434,5126,4829,4742,4786,4766,4631,4260,4156,4001,3834
"Fabricated Metal Product Manufacturing",2277,2046,2008,2152,2210,2004,1957,1872,1798,1772,1687
"Food Manufacturing",849,894,919,943,922,923,1004,1107,1172,1138,1164
"Chemical Manufacturing",1114,1104,1147,1216,1154,1132,975,969,895,997,971
"Miscellaneous Manufacturing",710,717,728,731,776,610,729,781,811,780,764
"Paper Manufacturing",891,857,850,817,826,773,768,834,841,792,758
"Plastics and Rubber Products Manufacturing",487,898,885,907,904,760,726,715,702,685,614
"Printing and Related Support Activities",369,390,366,376,408,334,366,372,390,418,410
"Computer and Electronic Product Manufacturing",491,466,458,465,471,419,430,415,423,404,397
"Machinery Manufacturing",375,387,378,370,380,390,362,336,355,329,330
